Name	L	T	K	F	R	N	S	LF	LF_B
Barbarea vulgaris	8	6	3	6	x	6	0	H	W
Bartsia alpina	8	3	3	8~	7	3	0	G, Hhp
Bassia hirsuta	9	6	6	8=	7	5	7	T	S
Bellis perennis	8	x	2	5	x	6	0	H	W
Berberis vulgaris	7	x	4	4	8	3	0	N	S
Berteroa incana	9	6	7	3	6	4	0	T, H	W
Berula erecta	8	6	3	10	8	6	1	H, A	W
Beta vulgaris ssp. maritima	9	6	4	6=	7	9	5	T	S
Betonica alopecurus	7	2	4	5	8	3	0	H	S
Betonica officinalis	7	6	5	x~	x	3	0	H	S
Betula humilis	7	5	8	9	4	3	0	N	S
Betula nana	8	3	6	9	1	2	0	Z	S
Betula pendula	(7)	x	x	x	x	x	0	P	S
Betula pubescens	(7)	x	x	8	3	3	0	P	S
Betula pubescens ssp. carpatica	(9)	4	x	x	1	1	0	P, N	S
Bidens cernua	8	6	5	9=	7	9	0	T	S
Bidens connata	8	7	5	9=	7	9	0	T	S
Bidens frondosa	7	6	x	8=	7	8	0	T	S
Bidens radiata	9	6	5	9=	6	8	0	T	S
Bidens tripartita	8	6	x	9=	x	8	0	T	S
Bifora radians	7	7	4	3	9	?	0	T	S
Biscutella laevigata	8	x	4	x	7	2	0	H	S
Blackstonia acuminata	8	9	3	7~	6	3	1	T	S
Blackstonia perfoliata	8	7	3	7~	9	4	0	T	S
Blechnum spicant	3	x	2	6	2	3	0	H	I
Blysmus compressus	8	x	5	8	8	3	1	G	S
Blysmus rufus	8	6	x	7=	7	4	5	G	S
Bolboschoenus maritimus ssp. maritimus	8	6	x	10	8	7	2	A, G	S
Bothriochloa ischaemum	9	7	6	3	8	3	0	H	S
Botrychium lunaria	8	x	3	4	x	2	0	G	S
Botrychium matricariifolium	7	x	4	4	3	2	0	G	S
Botrychium multifidum	6	4	4	6	4	2	0	G	S
Botrychium simplex	6	4	4	5	1	2	0	G	S
Botrychium virginianum	6	3	4	5	4	1	0	G	S
Brachypodium pinnatum	6	5	5	4	7	4	0	G, H	S
Brachypodium rupestre	7	5	4	4	7	3	0	H, C	S
Brachypodium sylvaticum	3	5	3	5	6	6	0	H	S
Brassica elongata	9	7	7	4	8	5	0	C, T	W
Brassica nigra	8	7	5	8=	8	7	0	T	S
Brassica oleracea - ssp. oleracea	8	7	2	5	x	8	3	C	W
Briza media	8	x	3	x	x	2	0	H	S
Bromus arvensis	6	6	4	4	8	4	0	T	W
Bromus commutatus	6	7	4	4	7	3	0	T	W
Bromus erectus	8	5	2	3	8	3	0	H	S
Bromus grossus (secalinus ssp. mult.	6	7	4	5	7	?	0	T	W
Bromus hordeaceus (mollis)	7	6	3	x~	x	3	1	T	S
Bromus hordeaceus ssp. thominii	8	6	2	4	4	2	1	T	S
Bromus hordeaceus lepidus	8	6	2	4	7	5	0	T	S
Bromus inermis	8	x	7	4~	8	5	0	H, G	S
Bromus japonicus	8	7	7	4	8	3	0	T	S
Bromus racemosus	6	6	2	8~	5	5	0	T	S
Bromus ramosus benekenii	5	5	4	5	7	5	0	H	S
Bromus ramosus ramosus	6	6	2	5	7	6	0	H	S
Bromus secalinus	6	6	3	x	5	x	0	T	W
Bromus squarrosus	8	8	7	3	8	3	0	T	S
Bromus sterilis	7	6	4	4	x	5	0	T	S
Bromus tectorum	8	6	7	3	8	4	0	T	S
Bromus willdenowii	7	7	?	4	?	?	0	?	S
Bryonia alba	7	6	5	5	7	6	0	G, Hli	S
Bryonia dioica	7	6	3	5	8	6	0	G, Hli	S
Buddleja davidii	8	7	4	4	7	4	0	N	S
Buglossoides arvensis	5	6	5	x	7	5	0	T	W
Buglossoides purpurocaerulea	5	7	4	4	7	4	0	C, H	W
Bunias orientalis	7	6	5	5	8	5	0	H, G	S
Bunium bulbocastanum	7	7	2	4	9	4	0	G	S
Buphthalmum salicifolium	8	x	4	4	8	3	0	H	S
Bupleurum falcatum ssp. falcatum	6	6	6	3	9	3	0	H	S
Bupleurum longifolium	5	x	6	4	9	5	0	H	S
Bupleurum ranunculoides	9	2	5	5	9	3	0	H	S
Bupleurum rotundifolium	8	7	4	3	9	4	0	T	S
Bupleurum stellatum	8	3	5	4	3	3	0	H	S
Bupleurum tenuissimum	9	6	4	7~	8	4	3	T	S
Butomus umbellatus	6	6	5	10~	x	7	?	A	S
Butomus umbellatus var. vallisneriifo	6	6	5	11	7	7	0	A	W
Buxus sempervirens	5	8	2	4	8	4	0	N	I
Cakile maritima	9	6	x	6=	x	8	4	T	W
Calamagrostis arundinacea	6	5	4	5	4	5	0	H	S
Calamagrostis canescens	6	6	5	9=	6	5	0	H	S
Calamagrostis epigejos	7	5	7	x~	x	6	0	G, H	S
Calamagrostis phragmitoides	7	4	?	8	x	3	0	H	S
Calamagrostis pseudophragmites	8	6	8	7=	9	3	0	H, G	S
Calamagrostis stricta (neglecta)	9	5	x	9~	x	2	0	H	S
Calamagrostis varia	7	3	4	5~	8	3	0	H	S
Calamagrostis villosa	6	4	4	7~	2	2	0	H, G	S
Calamintha nepeta agg.	8	7	3	3	9	3	0	H	S
Caldesia parnassifolia	7	7	4	10	8	7	0	A	S
Calendula arvensis	7	8	3	4	8	6	0	T	S
Calepina irregularis	8	9	3	3	8	4	1	T, H
Calla palustris	6	6	6	9=	6	4	0	A, G	S
Callitriche hermaphroditica (autumn.)	7	6	5	12	4	3	0	A	W
Callitriche palustris agg.
Callitriche palustris brutia (pedunculata	8	6	3	10	?	5	1	A	W
Callitriche palustris cophocarpa (polymorpha)	8	x	?	10	8	5	0	A, T	W
Callitriche palustris hamulata	8	4	2	10~	6	4	0	A, T	W
Callitriche palustris obtusangula	8	6	?	11	7	7	1	A	W
Callitriche palustris palustris (verna)	6	x	x	11	5	4	0	A	W
Callitriche palustris platycarpa	7	6	2	11	7	7	0	A, T	W
Callitriche palustris stagnalis	6	5	?	10	6	4	1	A, T	W
Calluna vulgaris	8	x	3	x	1	1	0	Z	I
Caltha palustris	7	x	x	9=	x	6	0	H	S
Calycocorsus stipitatus	9	3	4	9	7	4	0	H	W
Calystegia pulchra	6	6	?	5	?	7	0	Gli	S
Calystegia sepium	8	6	5	6	7	9	0	G, Hli	S
Calystegia soldanella	8	6	2	4	7	5	0	H	S
Camelina sativa alyssum (dentata)	7	6	6	5	6	4	0	T	S
Camelina sativa microcarpa	7	6	7	4	8	4	0	H, T	S
Camelina sativa sativa	7	7	6	4	7	6	0	T	S
Campanula alpina	7	2	4	5	4	2	0	H	S
Campanula barbata	7	2	4	5	1	2	0	H	S
Campanula baumgartenii	7	7	4	5	6	3	0	H	S
Campanula bononiensis	7	6	6	3	8	2	0	H	S
Campanula cenisia	8	1	7	5	8	3	0	C	S
Campanula cervicaria	6	6	5	5~	8	4	0	H	S
Campanula cespitosa	9	2	5	5	8	3	0	H	S
Campanula cochleariifolia (pusilla)	8	3	4	7	x	3	0	H	W
Campanula glomerata	7	x	7	4	7	3	0	H	S
Campanula latifolia	4	5	5	6	8	8	0	H	S
Campanula patula	8	6	4	5	7	5	0	H	S
Campanula persicifolia	5	5	4	4	8	3	0	H	S
Campanula rapunculoides	6	6	4	4	7	4	0	H	S
Campanula rapunculus	7	7	2	3	7	4	0	H	S
Campanula rhomboidalis	6	3	4	5	x	7	0	H	S
Campanula rotundifolia	7	5	x	x	x	2	0	H	S
